user_id,age,isFemale,factual_present,future,past,psychological_present
1183568165,25,1,0.0625,0.0104,0.0104,0.5208
1184476910,24,1,0.0,0.0,0.0238,0.6667
1185008531,29,1,0.0211,0.0105,0.0,0.6947
1187870957,31,1,0.0244,0.0,0.0,0.4634
1189813622,29,0,0.0,0.0,0.0,0.5405
1190062274,31,1,0.0,0.0,0.0,0.575
1190354330,27,1,0.0,0.0,0.0,0.4737
1191722765,21,0,0.0377,0.0,0.0,0.8491
1191884911,35,0,0.0652,0.0217,0.0,0.3043
1191979250,25,1,0.0213,0.0142,0.0,0.5603
1192028155,28,1,0.0,0.0,0.0,0.52
1192725150,25,1,0.0343,0.0,0.0062,0.5732
1195187231,31,1,0.0303,0.0,0.0152,0.3939
1197241204,25,0,0.0949,0.0146,0.0146,0.4307
1197425311,34,0,0.0202,0.0101,0.0,0.5354
1197477013,23,1,0.1,0.0125,0.025,0.4625
1198519270,28,1,0.1792,0.0094,0.0,0.3491
1199090835,17,0,0.0347,0.0,0.0058,0.6243
1199373767,27,0,0.0423,0.0,0.0,0.5915
1199563932,27,0,0.0411,0.0,0.0137,0.4384
1199583217,27,1,0.0189,0.0,0.0,0.283
1200260980,30,1,0.0,0.0222,0.0,0.5111
1201489165,34,0,0.2,0.0381,0.0,0.2762
1204511642,34,0,0.0986,0.0,0.0,0.3239
1204912791,58,1,0.0273,0.0,0.0,0.5045
1206056642,23,1,0.0313,0.0313,0.0,0.5313
1210002470,30,0,0.125,0.0,0.0,0.25
1210630850,29,1,0.0316,0.0211,0.0316,0.4105
1210789111,31,1,0.0313,0.0313,0.0313,0.5
1210881264,27,1,0.0952,0.0,0.0,0.381
1211804173,27,1,0.0,0.0,0.0,0.5111
1212516764,30,1,0.0333,0.0,0.0,0.4667
1212770963,25,1,0.0,0.0,0.0,0.4194
1212953752,36,1,0.0,0.0,0.0294,0.5
1213387295,25,0,0.0,0.0,0.0,0.48
1213511285,24,1,0.08,0.0,0.0,0.44
1213663382,27,1,0.0333,0.0,0.0056,0.4833
1214072115,25,1,0.102,0.0,0.0,0.449
1214263747,27,0,0.0,0.0,0.0256,0.7436
1214388892,33,1,0.0581,0.0116,0.0116,0.5
1214697622,23,1,0.0227,0.0,0.0227,0.5114
1214699635,27,0,0.0,0.0,0.0,0.6429
1215385887,27,0,0.0,0.0,0.0,0.5833
1215617557,25,1,0.1692,0.0154,0.0154,0.3385
1215744370,34,1,0.0345,0.0345,0.0,0.6552
1216058012,24,1,0.0625,0.0208,0.0,0.5417
1216482672,34,1,0.0,0.0061,0.0,0.4695
1216706451,28,1,0.0319,0.0106,0.0,0.4362
1216745200,39,0,0.3667,0.0,0.0167,0.1
1216790807,44,1,0.025,0.0,0.0,0.95
1216866967,25,1,0.08,0.0,0.04,0.32
1217161621,32,0,0.0505,0.0202,0.0,0.2525
1217247253,28,1,0.0455,0.0,0.0,0.5909
1217519590,32,0,0.0176,0.0,0.0059,0.6588
1217616111,29,0,0.0079,0.0,0.0317,0.381
1218065103,29,0,0.0,0.0,0.0,0.4478
1218145045,27,0,0.033,0.011,0.011,0.4066
1218311654,28,1,0.0357,0.0214,0.0214,0.5071
1218534042,25,1,0.0612,0.0,0.0,0.6122
1218664997,27,0,0.0833,0.0,0.0,0.375
1218856441,28,1,0.1429,0.0,0.0,0.4286
1219284247,29,1,0.02,0.0,0.0133,0.5067
1219528133,32,0,0.0952,0.0,0.0238,0.2619
1219850395,46,0,0.0678,0.0,0.0,0.2034
1220512373,32,0,0.0556,0.0,0.0,0.3704
1220575897,31,1,0.0,0.0,0.0,0.2917
1220896751,30,1,0.3864,0.0227,0.0,0.25
1220949193,27,1,0.0213,0.0319,0.0,0.7021
1221224864,26,0,0.0351,0.0175,0.0,0.3509
1221478603,24,1,0.0,0.0,0.0435,0.1304
1221675380,32,1,0.1034,0.0,0.0345,0.4483
1221714072,25,1,0.0263,0.0,0.0,0.6053
1221727214,27,0,0.0087,0.0087,0.0087,0.5391
1222082420,40,1,0.0392,0.0196,0.0196,0.451
1222471975,44,0,0.1235,0.0123,0.0123,0.4321
1223083637,32,0,0.0114,0.0114,0.0227,0.3977
1223202847,28,0,0.0,0.0,0.0,0.5484
1223430383,32,1,0.0522,0.0,0.0,0.4478
1223974904,24,0,0.0,0.0,0.0,0.4667
1224612553,25,1,0.0339,0.0,0.0,0.7119
1224886170,30,0,0.0,0.0,0.0,0.3793
1224922772,30,1,0.0556,0.0185,0.0,0.5741
1225023213,26,1,0.0296,0.0,0.0,0.6444
1225215137,32,0,0.0214,0.0053,0.0053,0.5829
1225260661,28,1,0.0182,0.0364,0.0,0.6
1225486321,38,1,0.034,0.0136,0.0136,0.517
1225557030,31,0,0.0,0.0,0.0278,0.4167
1225905354,19,1,0.0,0.0,0.0,0.6923
1225925413,36,1,0.0,0.0,0.0,0.5
1226030452,56,0,0.1711,0.0,0.0,0.25
1226268573,22,0,0.0,0.0,0.0,0.4
1226430617,33,0,0.0114,0.0,0.0114,0.3523
1226466811,36,0,0.01,0.0,0.0,0.2687
1226643352,35,0,0.0185,0.0093,0.0,0.3981
1226927344,27,1,0.0714,0.0,0.0,0.4762
1226969032,25,1,0.0968,0.0,0.0,0.3871
1227405774,28,1,0.0189,0.0189,0.0,0.4906
1227444340,24,1,0.0625,0.0278,0.0069,0.4444
1227963034,24,0,0.0714,0.0,0.0,0.4286
1228268947,38,1,0.0,0.0,0.0,0.3953
1228383471,29,0,0.0769,0.0,0.0,0.5
1228802967,36,1,0.1806,0.0,0.0278,0.3889
1228876083,25,1,0.146,0.0292,0.0073,0.2847
1229144732,18,1,0.0,0.0227,0.0,0.6705
1229335024,30,1,0.037,0.0,0.0,0.2222
1229632151,25,1,0.0333,0.0333,0.0333,0.6
1229811695,27,1,0.0,0.0,0.0,0.6637
1230000331,32,0,0.0,0.0,0.0185,0.5556
1230012613,30,1,0.0222,0.0222,0.0222,0.4889
1230476301,24,1,0.0625,0.0,0.0104,0.5313
1230679063,26,1,0.0727,0.0,0.0364,0.3636
1230766833,28,1,0.1429,0.0,0.0,0.3766
1230836977,27,1,0.0149,0.0,0.0149,0.4627
1231055304,24,0,0.0353,0.0,0.0,0.4941
1231236547,18,1,0.0,0.0,0.0,0.747
1231474925,27,0,0.0122,0.0122,0.0,0.5122
1231612824,25,0,0.0526,0.0263,0.0,0.5263
1232344265,27,0,0.0556,0.0,0.0093,0.75
1232603127,24,0,0.0656,0.041,0.0082,0.5984
1233268887,26,1,0.0492,0.0,0.0,0.623
1233588464,47,0,0.0333,0.0,0.0167,0.3667
1233942510,33,0,0.0526,0.0,0.0,0.3158
